ticker,end_period_ts,end_period_utc,interval_min,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,volume,open_interest
KXHIGHLAX-25JUL02-B72.5,1751467620,2025-07-02T14:47:00+00:00,1,,,,,,0.0900,0.0900,0.0900,0.0900,0.0900,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751467680,2025-07-02T14:48:00+00:00,1,,,,,,0.0900,0.0900,0.0900,0.0900,0.0900,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751467740,2025-07-02T14:49:00+00:00,1,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,0.1300,0.1300,0.1300,0.1300,10.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751467800,2025-07-02T14:50:00+00:00,1,,,,,,0.0900,0.0900,0.0900,0.0800,0.0800,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751467860,2025-07-02T14:51:00+00:00,1,,,,,,0.0900,0.0800,0.0800,0.0800,0.0800,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751467920,2025-07-02T14:52:00+00:00,1,,,,,,0.0900,0.0800,0.0800,0.0800,0.0800,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751467980,2025-07-02T14:53:00+00:00,1,,,,,,0.0900,0.0800,0.0800,0.0800,0.0800,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468100,2025-07-02T14:55:00+00:00,1,,,,,,0.0900,0.0800,0.0800,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468160,2025-07-02T14:56:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468220,2025-07-02T14:57:00+00:00,1,,,,,,0.0900,0.0500,0.0600,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468280,2025-07-02T14:58:00+00:00,1,,,,,,0.0900,0.0500,0.0600,0.0500,0.0600,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468340,2025-07-02T14:59:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468400,2025-07-02T15:00:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468520,2025-07-02T15:02:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468580,2025-07-02T15:03:00+00:00,1,,,,,,0.0900,0.0500,0.0600,0.0500,0.0600,0.1300,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468760,2025-07-02T15:06:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0400,0.0600,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468820,2025-07-02T15:07:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468880,2025-07-02T15:08:00+00:00,1,,,,,,0.0900,0.0500,0.0600,0.0500,0.0600,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751468940,2025-07-02T15:09:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1300,0.1400,0.1300,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469000,2025-07-02T15:10:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1400,0.1400,0.1400,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469120,2025-07-02T15:12:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0500,0.0500,0.1400,0.1400,0.1400,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469180,2025-07-02T15:13:00+00:00,1,,,,,,0.0900,0.0500,0.0600,0.0500,0.0600,0.1400,0.1400,0.1400,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469300,2025-07-02T15:15:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1400,0.1400,0.1300,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469360,2025-07-02T15:16:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1400,0.1400,0.1400,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469420,2025-07-02T15:17:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0500,0.0500,0.1400,0.1400,0.1400,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469480,2025-07-02T15:18:00+00:00,1,,,,,,0.0900,0.0500,0.0600,0.0500,0.0600,0.1400,0.1400,0.1400,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469540,2025-07-02T15:19:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1400,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469660,2025-07-02T15:21:00+00:00,1,,,,,,0.0900,0.0600,0.0600,0.0600,0.0600,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469720,2025-07-02T15:22:00+00:00,1,,,,,,0.0900,0.0600,0.1000,0.0500,0.0500,0.1300,0.1300,0.1200,0.1200,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469780,2025-07-02T15:23:00+00:00,1,,,,,,0.0900,0.0500,0.1100,0.0500,0.0800,0.1200,0.1300,0.1100,0.1100,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469840,2025-07-02T15:24:00+00:00,1,,,,,,0.0900,0.0800,0.1100,0.0500,0.0500,0.1100,0.1400,0.1000,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469900,2025-07-02T15:25:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1200,0.1200,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751469960,2025-07-02T15:26:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1200,0.1200,0.1200,0.1200,0.00,1754.00
